asin,delivery,discount,image_url,original_price,price,prime,rating,reviews_count,title,url
B0CGCZTYH2,"Mon, 10 Mar",28.59%,https://m.media-amazon.com/images/I/616idSqXY0L._AC_UY218_.jpg,"₹4,194","₹2,995",Yes,4.3,589,"Logitech Pebble Keys 2 K380s, Multi-Device Bluetooth Wireless Keyboard with Customisable Shortcuts, Slim and Portable, Easy-Switch for Windows, macOS, iPadOS, Android, Chrome OS - Tonal Graphite",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzUwMjUxNDg3MjQ2NTExOjE3NDE0MTg5NDY6c3BfYXRmOjMwMDEzODY5Nzc5MTczMjo6MDo6&url=%2FLogitech-Multi-Device-Bluetooth-Customisable-Easy-Switch%2Fdp%2FB0CGCZTYH2%2Fref%3Dsr_1_1_sspa%3Fcrid%3D24UWXTIEZE2WS%26dib%3DeyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w%26dib_tag%3Dse%26keywords%3Dkeyboard%2Bfor%2Blaptop%26qid%3D1741418946%26s%3Dcomputers%26sprefix%3Dkeyboard%2Bfor%2Blaptop%252Ccomputers%252C616%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
B0CJM366ST,"Mon, 10 Mar",27.46%,https://m.media-amazon.com/images/I/61HZJ5juzuL._AC_UY218_.jpg,"₹1,999","₹1,450",Yes,3.9,3216,"HP KM200 Wireless Mouse and Keyboard Combo, Full-Size Ergonomic Design, 3 Button and Built-in Scroll Wheel, 2.4 GHz Wireless connectio, 3 Years Warranty (7J4G8AA)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzUwMjUxNDg3MjQ2NTExOjE3NDE0MTg5NDY6c3BfYXRmOjMwMDEwNTc0MjY2ODQzMjo6MDo6&url=%2FHP-Mouse-Keyboard-Combo-Full-Size%2Fdp%2FB0CJM366ST%2Fref%3Dsr_1_2_sspa%3Fcrid%3D24UWXTIEZE2WS%26dib%3DeyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w%26dib_tag%3Dse%26keywords%3Dkeyboard%2Bfor%2Blaptop%26qid%3D1741418946%26s%3Dcomputers%26sprefix%3Dkeyboard%2Bfor%2Blaptop%252Ccomputers%252C616%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
B077T3BG5L,"Mon, 10 Mar",42.61%,https://m.media-amazon.com/images/I/61JyZxQ36lL._AC_UY218_.jpg,₹399,₹229,No,3.7,40856,Zebronics ZEB-KM2100 Multimedia USB Keyboard Comes with 114 Keys Including 12 Dedicated Multimedia Keys & with Rupee Key,https://www.amazon.in/Zebronics-Km2100-Multimedia-USB-Keyboard/dp/B077T3BG5L/ref=sr_1_3?crid=24UWXTIEZE2WS&dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w&dib_tag=se&keywords=keyboard+for+laptop&qid=1741418946&s=computers&sprefix=keyboard+for+laptop%2Ccomputers%2C616&sr=1-3
B00ZYLMQH0,"Mon, 10 Mar",18.49%,https://m.media-amazon.com/images/I/61-kTKQuDUL._AC_UY218_.jpg,₹649,₹529,Yes,4.3,37533,"Dell KB216-Black Multimedia Wired Keyboard with USB Interface, Plunger Keys Technology and Chiclet Key Style, Hot Key-Volume, Mute, Play/Pause, Backward, Forward, Warranty 3 Years",https://www.amazon.in/Dell-KB216-Wired-Multimedia-Keyboard/dp/B00ZYLMQH0/ref=sr_1_4?crid=24UWXTIEZE2WS&dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w&dib_tag=se&keywords=keyboard+for+laptop&qid=1741418946&s=computers&sprefix=keyboard+for+laptop%2Ccomputers%2C616&sr=1-4
B0B29G5SSW,"Mon, 10 Mar",65.08%,https://m.media-amazon.com/images/I/61jJuQHSvYL._AC_UY218_.jpg,₹799,₹279,No,3.7,3370,"Zebronics K24 Wired USB Keyboard, 104 Keys, Long Life 8 Million Keystrokes, Silent & Comfortable Use, Slim Design, Retractable Stand, 1.5 Meter Textured Cable, UV Coated keycaps",https://www.amazon.in/Zebronics-Keyboard-keystrokes-Comfortable-Retractable/dp/B0B29G5SSW/ref=sr_1_5?crid=24UWXTIEZE2WS&dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w&dib_tag=se&keywords=keyboard+for+laptop&qid=1741418946&s=computers&sprefix=keyboard+for+laptop%2Ccomputers%2C616&sr=1-5
B09T3H12GV,"Mon, 10 Mar",48.02%,https://m.media-amazon.com/images/I/71bjej3ZelL._AC_UY218_.jpg,"₹2,499","₹1,299",Yes,4.1,11862,"Dell KM3322W Wireless USB Keyboard and Mouse Combo, Anti-Fade & Spill-Resistant Keys, up to 36 Month Battery Life, 3Y Advance Exchange Warranty - Black",https://www.amazon.in/Dell-Wireless-Keyboard-Mouse-Spill-Resistant/dp/B09T3H12GV/ref=sr_1_6?crid=24UWXTIEZE2WS&dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w&dib_tag=se&keywords=keyboard+for+laptop&qid=1741418946&s=computers&sprefix=keyboard+for+laptop%2Ccomputers%2C616&sr=1-6
B07KX9V8J4,"Mon, 10 Mar",16.72%,https://m.media-amazon.com/images/I/71qdcxI6lDL._AC_UY218_.jpg,₹299,₹249,No,3.8,2691,"Zebronics USB Keyboard with Rupee Key, USB Interface and Retractable Stand - K20",https://www.amazon.in/Zebronics-ZEB-K20-USB-Keyboard-Rupee/dp/B07KX9V8J4/ref=sr_1_7?crid=24UWXTIEZE2WS&dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w&dib_tag=se&keywords=keyboard+for+laptop&qid=1741418946&s=computers&sprefix=keyboard+for+laptop%2Ccomputers%2C616&sr=1-7
B087FXHB6J,"Mon, 10 Mar",45.05%,https://m.media-amazon.com/images/I/61ZvJw9wlXL._AC_UY218_.jpg,₹999,₹549,Yes,3.4,19712,Zebronics Zeb-Companion 107 USB Wireless Keyboard and Mouse Set with Nano Receiver (Black),https://www.amazon.in/Zebronics-Zeb-Companion-107-Wireless-Keyboard/dp/B087FXHB6J/ref=sr_1_8?crid=24UWXTIEZE2WS&dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w&dib_tag=se&keywords=keyboard+for+laptop&qid=1741418946&s=computers&sprefix=keyboard+for+laptop%2Ccomputers%2C616&sr=1-8
B0CN2ZWYNV,"Mon, 10 Mar",52.53%,https://m.media-amazon.com/images/I/61oh0M9st4L._AC_UY218_.jpg,"₹1,999",₹949,Yes,3.9,16153,"Portronics Key7 Combo Wireless Keyboard & Mouse Set with Copilot AI, 2.4 GHz USB Receiver, 10m Range, 12 Shortcut Keys, Adjustable DPI (Up to 1600), 10M Key Life for PC, Laptop, Mac(Grey+Orange)",https://www.amazon.in/Portronics-Wireless-Keyboard-Receiver-Adjustable/dp/B0CN2ZWYNV/ref=sr_1_9?crid=24UWXTIEZE2WS&dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w&dib_tag=se&keywords=keyboard+for+laptop&qid=1741418946&s=computers&sprefix=keyboard+for+laptop%2Ccomputers%2C616&sr=1-9
B0D7HW7GH1,"Mon, 10 Mar",50.05%,https://m.media-amazon.com/images/I/61wdmTw9JXL._AC_UY218_.jpg,₹999,₹499,Yes,4.1,565,"Portronics Ki-Pad 3 USB Wired Keyboard with Large Keycaps, Noise-Free Typing, Fn Multimedia Hotkeys, Full-Size Layout with Num Pad, Ergonomic Design, 1.5m USB Cable, for Laptop, PC, Mac (Pink)",https://www.amazon.in/Portronics-Noise-Free-Multimedia-Full-Size-Ergonomic/dp/B0D7HW7GH1/ref=sr_1_10?crid=24UWXTIEZE2WS&dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w&dib_tag=se&keywords=keyboard+for+laptop&qid=1741418946&s=computers&sprefix=keyboard+for+laptop%2Ccomputers%2C616&sr=1-10
B0BY2YM76S,"Mon, 10 Mar",44.04%,https://m.media-amazon.com/images/I/71hLATTzChL._AC_UY218_.jpg,₹999,₹559,Yes,4.0,2398,"Ant Esports MK1400 Pro Backlit Membrane Wired Gaming Keyboard with Mixed Colour Lighting, White & Black Keycaps, Double Injection Key Caps - Black",https://www.amazon.in/Ant-Esports-Membrane-Keyboard-Injection/dp/B0BY2YM76S/ref=sr_1_11?crid=24UWXTIEZE2WS&dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w&dib_tag=se&keywords=keyboard+for+laptop&qid=1741418946&s=computers&sprefix=keyboard+for+laptop%2Ccomputers%2C616&sr=1-11
B0CP9Q838K,"Mon, 10 Mar",52.08%,https://m.media-amazon.com/images/I/510OM8sOrkL._AC_UY218_.jpg,"₹1,250",₹599,Yes,4.1,238,"HP K100 Wired Keyboard, Quick, Comfy and Accurate, USB Plug & Play Setup,LED Indicators(7J4G1AA)",https://www.amazon.in/HP-Keyboard-Accurate-Indicators-7J4G1AA/dp/B0CP9Q838K/ref=sr_1_12?crid=24UWXTIEZE2WS&dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w&dib_tag=se&keywords=keyboard+for+laptop&qid=1741418946&s=computers&sprefix=keyboard+for+laptop%2Ccomputers%2C616&sr=1-12
B013WC1D62,"Tue, 11 Mar",42.44%,https://m.media-amazon.com/images/I/71wzhUUcJVL._AC_UY218_.jpg,₹450,₹259,No,3.6,253,"FRONTECH Wired Keyboard | Membrane Keys with Retractable Stands | USB Plug & Play | Ergonomic & Comfortable Design | 1 Year Warranty (FT-1672, Black)",https://www.amazon.in/Frontech-Jil1672-Usb-Keyboard-Black/dp/B013WC1D62/ref=sr_1_13?crid=24UWXTIEZE2WS&dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w&dib_tag=se&keywords=keyboard+for+laptop&qid=1741418946&s=computers&sprefix=keyboard+for+laptop%2Ccomputers%2C616&sr=1-13
B0CGCZTYH2,"Mon, 10 Mar",28.59%,https://m.media-amazon.com/images/I/616idSqXY0L._AC_UY218_.jpg,"₹4,194","₹2,995",Yes,4.3,589,"Logitech Pebble Keys 2 K380s, Multi-Device Bluetooth Wireless Keyboard with Customisable Shortcuts, Slim and Portable, Easy-Switch for Windows, macOS, iPadOS, Android, Chrome OS - Tonal Graphite",https://www.amazon.in/Logitech-Multi-Device-Bluetooth-Customisable-Easy-Switch/dp/B0CGCZTYH2/ref=sr_1_14?crid=24UWXTIEZE2WS&dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w&dib_tag=se&keywords=keyboard+for+laptop&qid=1741418946&s=computers&sprefix=keyboard+for+laptop%2Ccomputers%2C616&sr=1-14
B0DFYLWXMW,"Mon, 10 Mar",3.85%,https://m.media-amazon.com/images/I/71TweRcBnLL._AC_UY218_.jpg,"₹2,599","₹2,499",Yes,4.2,2605,"cimetech Mini Wireless Keyboard and Mouse, 2.4G Slim Keyboard and Ergonomic Silent Mouse Set with 12 Multimedia Shortcuts for Computer, PC, Laptop, Tablet, Desktop, Android SmartTV (Grey)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzUwMjUxNDg3MjQ2NTExOjE3NDE0MTg5NDY6c3BfbXRmOjMwMDQ4NTE0MTAwNDUzMjo6MDo6&url=%2Fcimetech-Wireless-Ergonomic-Multimedia-Shortcuts%2Fdp%2FB0DFYLWXMW%2Fref%3Dsr_1_15_sspa%3Fcrid%3D24UWXTIEZE2WS%26dib%3DeyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w%26dib_tag%3Dse%26keywords%3Dkeyboard%2Bfor%2Blaptop%26qid%3D1741418946%26s%3Dcomputers%26sprefix%3Dkeyboard%2Bfor%2Blaptop%252Ccomputers%252C616%26sr%3D1-15-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
B0BHYJ8CVF,"Mon, 10 Mar",36.69%,https://m.media-amazon.com/images/I/51a3BY9Gv+L._AC_UY218_.jpg,"₹1,499",₹949,Yes,3.9,16153,"Portronics Key2 Combo Wireless Keyboard and Mouse Set, with 2.4 GHz USB Receiver, Silent Keystrokes, 1200 DPI Optical Tracking, Compact Design, Multimedia Keys for PC, Laptop & USB Supported Devices (Grey)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzUwMjUxNDg3MjQ2NTExOjE3NDE0MTg5NDY6c3BfbXRmOjMwMDM1NDc5MTc2MjkzMjo6MDo6&url=%2FPortronics-Multimedia-Wireless-Keyboard-Technology%2Fdp%2FB0BHYJ8CVF%2Fref%3Dsr_1_16_sspa%3Fcrid%3D24UWXTIEZE2WS%26dib%3DeyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w%26dib_tag%3Dse%26keywords%3Dkeyboard%2Bfor%2Blaptop%26qid%3D1741418946%26s%3Dcomputers%26sprefix%3Dkeyboard%2Bfor%2Blaptop%252Ccomputers%252C616%26sr%3D1-16-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
B0BFXRHHBM,"Tue, 11 Mar",64.38%,https://m.media-amazon.com/images/I/61EBlTmwkqL._AC_UY218_.jpg,₹699,₹249,No,3.7,1948,"Ant Value FKBRI01 Ultra-Slim Compact USB Wired Keyboard for Mac and PC,Windows 10/8 / 7 / Vista/XP, Spill-Resistant Silent Keyboard – Membrane Water-Resistant Coating 10 Million Keystrokes (Black)",https://www.amazon.in/Ant-Value-Fkbri01-Multi-Device-Keyboard%C3%A2/dp/B0BFXRHHBM/ref=sr_1_17?crid=24UWXTIEZE2WS&dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w&dib_tag=se&keywords=keyboard+for+laptop&qid=1741418946&s=computers&sprefix=keyboard+for+laptop%2Ccomputers%2C616&sr=1-17
B01N4EV2TL,"Wed, 12 Mar",28.64%,https://m.media-amazon.com/images/I/6124vLIswVL._AC_UY218_.jpg,"₹2,095","₹1,495",Yes,4.2,10760,"Logitech MK240 Nano Wireless USB Keyboard and Mouse Set, 12 Function Keys 2.4GHz Wireless, 1000DPI, Spill-Resistant Design, PC/Mac, Black/Chartreuse Yellow",https://www.amazon.in/Logitech-MK240-NANO-Mouse-Keyboard/dp/B01N4EV2TL/ref=sr_1_18?crid=24UWXTIEZE2WS&dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w&dib_tag=se&keywords=keyboard+for+laptop&qid=1741418946&s=computers&sprefix=keyboard+for+laptop%2Ccomputers%2C616&sr=1-18
B09268JSWC,"Mon, 10 Mar",25.06%,https://m.media-amazon.com/images/I/71eOpAjAxqS._AC_UY218_.jpg,₹399,₹299,No,3.8,1168,"Zebronics ZEB-K04 Mini Multimedia USB Wired Keyboard with 96 UV Coated Keys, Slim & Compact, for PC/Mac",https://www.amazon.in/Zebronics-ZEB-K04-Multimedia-Keyboard-Compact/dp/B09268JSWC/ref=sr_1_19?crid=24UWXTIEZE2WS&dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa3YxPR5yvFfUl0CIJcrFb-IQeTV1scn5UdzNS7DLiWDFQ69QhR2Ijhk-t3Sswxecv76KI0eskUxfXWxEVgwEa8PIni3-WmfvAdTRA_HGp7097NeLldwHmbjNAQsZHPR-AxqXdgTc9uJGRMMtwE8PL4udJOvEvBjCdmJUTgZn_ShsW29QOJfzHl0t3BAciffz8UQuFEoc3FQNAgUC8_iCnbM7jlmkblU4WK688H0JCYF-iCGPeTDLw8RRWK6S3vLUFQ.JcKuP7gSbVQI_bFPZ_B5-hg0budU5dqolv1fA0WCB2w&dib_tag=se&keywords=keyboard+for+laptop&qid=1741418946&s=computers&sprefix=keyboard+for+laptop%2Ccomputers%2C616&sr=1-19
